id,relevance
1,2.33
4,3.0
5,2.67
6,3.0
7,3.0
8,3.0
10,3.0
11,3.0
12,2.33
13,3.0
14,2.67
15,3.0
19,3.0
22,2.67
24,2.33
25,2.33
26,2.0
28,2.67
29,1.67
30,2.33
31,3.0
32,3.0
33,2.0
36,2.67
39,2.33
40,2.33
41,3.0
42,3.0
43,2.33
44,2.67
45,2.33
46,3.0
47,2.0
49,3.0
50,3.0
52,2.33
53,2.33
54,2.33
55,2.67
56,3.0
57,2.0
58,2.33
59,3.0
60,2.0
61,3.0
62,3.0
63,3.0
64,2.33
66,3.0
67,2.33
68,2.0
70,2.33
71,2.33
72,2.33
73,2.0
74,2.33
76,2.0
77,2.33
78,2.67
79,2.33
80,2.33
82,2.33
83,2.33
84,2.33
86,2.0
87,3.0
89,2.33
91,3.0
93,2.33
94,3.0
95,2.0
96,2.33
97,3.0
98,2.33
99,2.33
100,3.0
102,2.33
103,3.0
104,3.0
107,2.33
108,3.0
109,2.33
110,2.33
111,2.33
112,2.33
115,3.0
116,2.67
118,3.0
119,3.0
121,3.0
124,3.0
126,2.67
128,2.33
129,3.0
130,2.67
131,3.0
132,3.0
133,3.0
134,2.0
135,2.33
137,3.0
139,3.0
140,3.0
141,2.33
142,2.33
144,3.0
145,3.0
146,1.0
148,1.67
151,3.0
152,2.67
153,2.67
154,2.0
155,2.33
156,2.0
159,2.0
160,2.33
161,2.33
163,3.0
167,2.33
168,3.0
169,2.67
170,3.0
171,3.0
173,2.67
174,2.33
175,2.33
176,2.33
180,3.0
183,2.33
184,3.0
185,3.0
187,2.33
188,2.33
189,2.33
190,2.33
192,3.0
194,3.0
196,2.67
197,2.33
198,3.0
199,1.0
200,3.0
204,3.0
206,3.0
207,3.0
208,3.0
209,2.67
211,3.0
212,2.67
213,3.0
216,3.0
217,2.33
218,2.33
219,3.0
220,2.33
221,3.0
222,2.33
224,2.33
225,2.67
228,3.0
229,3.0
230,3.0
231,2.33
232,2.33
234,2.67
235,2.67
236,2.33
237,2.33
238,3.0
239,2.33
240,2.0
242,2.67
243,3.0
244,2.0
246,2.67
247,2.33
248,3.0
249,2.33
250,3.0
251,3.0
252,2.67
253,2.33
254,3.0
256,2.67
258,2.0
260,2.0
262,2.33
263,3.0
264,2.0
265,2.0
267,3.0
268,3.0
269,2.67
271,2.0
273,2.67
274,3.0
277,2.67
278,2.0
279,3.0
280,3.0
281,2.67
282,3.0
283,3.0
285,1.67
286,1.67
287,1.67
288,2.67
289,2.67
291,2.33
292,2.33
295,3.0
296,3.0
298,3.0
299,2.0
300,3.0
301,2.67
302,3.0
303,2.0
304,3.0
306,2.67
307,2.33
308,2.33
309,3.0
310,2.33
311,3.0
312,3.0
313,2.33
315,2.67
316,2.67
317,2.33
320,2.67
321,1.67
322,3.0
324,3.0
325,2.33
326,2.67
328,3.0
329,2.33
330,2.33
332,2.33
333,2.33
336,2.33
337,3.0
338,3.0
339,3.0
342,2.67
344,2.67
345,3.0
348,2.33
349,2.33
352,3.0
353,3.0
356,3.0
357,3.0
358,3.0
360,2.67
362,3.0
364,2.33
366,1.67
367,3.0
368,2.67
369,2.0
370,2.67
371,3.0
372,2.67
376,2.67
377,3.0
378,3.0
379,2.33
380,3.0
381,3.0
382,2.33
383,2.0
384,3.0
386,3.0
387,3.0
388,2.67
390,2.0
391,2.33
392,3.0
393,2.33
394,3.0
395,2.0
396,2.67
398,2.0
399,2.67
404,2.33
405,2.33
406,3.0
409,2.0
410,2.33
412,3.0
414,2.0
415,3.0
416,2.67
417,3.0
419,2.33
420,2.33
423,2.0
424,2.0
425,3.0
426,3.0
427,2.33
428,3.0
