id,relevance
1,2.33
4,2.33
5,3.0
6,3.0
7,3.0
8,2.33
10,3.0
11,3.0
12,2.33
13,3.0
14,3.0
15,3.0
19,2.33
22,3.0
24,3.0
25,2.33
26,2.33
28,2.67
29,2.67
30,3.0
31,3.0
32,2.67
33,3.0
36,3.0
39,2.33
40,2.67
41,2.33
42,2.0
43,3.0
44,3.0
45,2.67
46,2.67
47,2.67
49,2.67
50,2.67
52,2.33
53,1.67
54,2.33
55,3.0
56,3.0
57,2.33
58,3.0
59,2.0
60,2.33
61,2.67
62,2.67
63,2.0
64,2.0
66,2.33
67,1.67
68,1.33
70,2.33
71,3.0
72,2.33
73,2.33
74,2.33
76,1.33
77,2.33
78,2.33
79,2.33
80,2.33
82,3.0
83,3.0
84,1.33
86,3.0
87,2.33
89,2.33
91,2.33
93,2.33
94,2.33
95,2.33
96,2.33
97,2.33
98,3.0
99,2.33
100,3.0
102,2.67
103,2.33
104,2.33
107,2.33
108,2.33
109,3.0
110,3.0
111,3.0
112,2.33
115,2.33
116,2.67
118,3.0
119,2.33
121,2.67
124,2.0
126,2.33
128,3.0
129,2.33
130,2.33
131,3.0
132,3.0
133,2.67
134,2.0
135,3.0
137,2.33
139,3.0
140,2.33
141,2.33
142,2.33
144,2.33
145,3.0
146,2.33
148,2.33
151,2.0
152,2.33
153,2.67
154,2.33
155,2.33
156,2.33
159,2.33
160,2.33
161,1.67
163,3.0
167,1.67
168,2.67
169,2.33
170,3.0
171,3.0
173,2.33
174,3.0
175,3.0
176,2.33
180,2.67
183,3.0
184,2.67
185,2.67
187,2.33
188,2.33
189,2.33
190,2.67
192,2.67
194,2.67
196,2.67
197,2.33
198,3.0
199,2.33
200,3.0
204,2.33
206,2.33
207,3.0
208,2.33
209,2.33
211,3.0
212,1.67
213,2.33
216,3.0
217,3.0
218,2.33
219,2.67
220,3.0
221,2.33
222,2.33
224,2.33
225,2.33
228,3.0
229,2.67
230,2.67
231,2.33
232,2.33
234,2.33
235,3.0
236,2.33
237,3.0
238,2.67
239,2.0
240,2.0
242,3.0
243,2.67
244,2.67
246,1.67
247,1.67
248,2.67
249,2.67
250,2.67
251,2.33
252,2.67
253,2.67
254,2.0
256,1.67
258,2.33
260,2.33
262,3.0
263,3.0
264,2.33
265,2.33
267,3.0
268,3.0
269,2.0
271,3.0
273,2.33
274,3.0
277,2.0
278,2.0
279,2.33
280,1.33
281,2.0
282,2.67
283,2.33
285,2.33
286,2.33
287,2.33
288,1.67
289,1.67
291,2.67
292,2.67
295,3.0
296,3.0
298,2.33
299,2.33
300,3.0
301,3.0
302,2.33
303,1.67
304,1.0
306,3.0
307,3.0
308,2.33
309,3.0
310,3.0
311,2.67
312,3.0
313,2.33
315,2.33
316,2.33
317,3.0
320,2.67
321,2.33
322,2.33
324,2.0
325,3.0
326,3.0
328,2.33
329,2.33
330,2.33
332,3.0
333,2.33
336,2.33
337,3.0
338,2.0
339,2.33
342,3.0
344,2.0
345,3.0
348,3.0
349,2.67
352,3.0
353,3.0
356,1.0
357,3.0
358,3.0
360,1.33
362,2.0
364,2.67
366,3.0
367,1.67
368,2.0
369,2.33
370,2.33
371,2.67
372,2.67
376,2.67
377,3.0
378,3.0
379,2.0
380,2.33
381,2.0
382,2.0
383,1.33
384,2.0
386,3.0
387,3.0
388,2.33
390,2.67
391,2.33
392,2.33
393,2.33
394,2.33
395,3.0
396,2.0
398,2.67
399,2.67
404,3.0
405,3.0
406,3.0
409,2.67
410,2.33
412,2.33
414,2.67
415,2.33
416,2.0
417,2.33
419,2.33
420,2.33
423,2.67
424,2.33
425,2.33
426,2.33
427,2.33
428,3.0
429,2.33
430,2.33
431,3.0
432,2.0
433,2.0
434,3.0
435,1.67
436,2.67
437,2.67
438,3.0
439,2.67
441,3.0
442,2.0
443,2.67
448,2.67
449,3.0
450,2.33
451,2.67
453,2.33
457,2.67
460,3.0
462,3.0
463,3.0
464,2.33
465,2.33
466,3.0
467,2.67
471,1.67
472,2.33
474,2.33
477,2.67
482,3.0
483,2.67
484,2.67
486,2.33
487,2.33
488,2.33
489,2.33
490,2.33
493,2.33
494,2.33
495,2.33
496,2.0
498,2.33
499,2.33
502,2.33
503,3.0
504,3.0
505,3.0
506,3.0
507,3.0
509,3.0
510,1.0
512,1.0
513,3.0
514,2.67
515,2.33
518,2.33
519,1.67
520,2.33
521,1.67
522,2.67
523,2.0
525,3.0
526,2.33
527,3.0
528,2.33
529,3.0
530,2.33
531,2.0
532,3.0
534,2.0
535,2.0
537,2.0
538,2.0
539,2.0
540,2.0
541,2.67
543,3.0
545,3.0
546,3.0
547,2.33
548,2.67
