id,relevance
1,2.33
4,3.0
5,2.67
6,3.0
7,2.67
8,2.33
10,2.67
11,3.0
12,2.0
13,3.0
14,3.0
15,2.33
19,3.0
22,1.67
24,3.0
25,2.33
26,2.67
28,2.67
29,1.67
30,1.67
31,3.0
32,2.67
33,2.0
36,2.67
39,2.33
40,2.67
41,3.0
42,2.0
43,2.67
44,3.0
45,3.0
46,2.67
47,2.67
49,3.0
50,2.67
52,3.0
53,2.33
54,2.67
55,2.67
56,3.0
57,2.0
58,2.67
59,2.33
60,2.33
61,3.0
62,3.0
63,3.0
64,2.33
66,2.67
67,1.67
68,2.33
70,2.33
71,2.33
72,1.33
73,2.33
74,2.33
76,2.33
77,2.33
78,2.33
79,1.33
80,2.33
82,2.33
83,2.33
84,2.33
86,2.33
87,3.0
89,1.0
91,1.33
93,2.33
94,1.33
95,2.0
96,1.0
97,1.33
98,2.33
99,1.0
100,3.0
102,2.33
103,1.33
104,1.33
107,1.0
108,1.33
109,2.33
110,3.0
111,3.0
112,2.33
115,2.33
116,2.67
118,3.0
119,2.33
121,2.33
124,3.0
126,2.67
128,3.0
129,3.0
130,2.67
131,2.33
132,2.33
133,3.0
134,2.0
135,2.33
137,2.33
139,3.0
140,3.0
141,2.33
142,1.67
144,2.67
145,3.0
146,1.0
148,1.67
151,2.0
152,2.67
153,1.67
154,1.67
155,2.33
156,2.33
159,2.67
160,2.33
161,2.0
163,3.0
167,1.67
168,2.67
169,2.67
170,2.0
171,2.0
173,3.0
174,3.0
175,3.0
176,2.67
180,2.67
183,3.0
184,2.67
185,2.67
187,2.33
188,2.67
189,2.67
190,2.67
192,2.67
194,2.67
196,1.33
197,1.0
198,3.0
199,3.0
200,3.0
204,3.0
206,3.0
207,3.0
208,2.0
209,2.33
211,2.67
212,2.33
213,3.0
216,3.0
217,2.67
218,2.33
219,3.0
220,2.33
221,3.0
222,2.33
224,3.0
225,2.33
228,2.33
229,3.0
230,2.67
231,2.33
232,2.33
234,2.33
235,2.33
236,2.33
237,2.33
238,3.0
239,2.0
240,2.33
242,3.0
243,3.0
244,2.67
246,3.0
247,1.33
248,3.0
249,2.33
250,3.0
251,2.33
252,3.0
253,2.0
254,2.0
256,2.33
258,2.0
260,2.0
262,2.33
263,3.0
264,2.0
265,2.0
267,3.0
268,3.0
269,1.67
271,2.0
273,2.0
274,2.0
277,2.33
278,2.33
279,1.0
280,3.0
281,2.33
282,3.0
283,2.33
285,1.33
286,1.67
287,1.67
288,2.67
289,2.67
291,2.67
292,2.67
295,3.0
296,3.0
298,3.0
299,2.0
300,3.0
301,2.0
302,3.0
303,2.0
304,3.0
306,2.67
307,2.33
308,2.0
309,3.0
310,1.67
311,3.0
312,3.0
313,2.33
315,2.33
316,2.0
317,2.33
320,2.67
321,2.0
322,2.33
324,2.67
325,3.0
326,2.0
328,2.0
329,2.33
330,2.33
332,2.33
333,2.33
336,2.33
337,2.33
338,3.0
339,3.0
342,2.33
344,3.0
345,3.0
348,2.33
349,3.0
352,2.33
353,3.0
356,3.0
357,3.0
358,3.0
360,2.67
362,2.67
364,3.0
366,2.33
367,2.67
368,2.0
369,3.0
370,3.0
371,2.33
372,2.67
376,2.0
377,3.0
378,2.33
379,2.0
380,2.67
381,3.0
382,2.0
383,2.67
384,3.0
386,3.0
387,3.0
388,2.67
390,2.33
391,2.33
392,2.33
393,2.67
394,2.33
395,2.0
396,2.0
398,2.67
399,2.67
404,2.67
405,2.0
406,3.0
409,2.0
410,2.0
412,2.33
414,2.67
415,2.33
416,2.0
417,2.33
419,1.33
420,2.0
423,2.67
424,2.33
425,2.33
426,3.0
427,3.0
428,3.0
