id,relevance
1,2.33
4,2.33
5,3.0
6,3.0
7,3.0
8,2.33
10,3.0
11,3.0
12,2.33
13,3.0
14,3.0
15,3.0
19,2.67
22,3.0
24,3.0
25,3.0
26,2.33
28,2.33
29,2.33
30,2.33
31,3.0
32,2.33
33,2.33
36,3.0
39,2.33
40,3.0
41,2.33
42,2.33
43,3.0
44,3.0
45,3.0
46,3.0
47,3.0
49,3.0
50,2.33
52,2.33
53,3.0
54,2.33
55,3.0
56,3.0
57,2.33
58,3.0
59,3.0
60,2.33
61,3.0
62,3.0
63,2.33
64,2.33
66,2.67
67,3.0
68,2.33
70,2.33
71,3.0
72,2.33
73,2.33
74,2.33
76,2.33
77,2.33
78,2.33
79,2.33
80,2.33
82,3.0
83,3.0
84,2.33
86,3.0
87,3.0
89,2.33
91,2.33
93,2.33
94,2.33
95,2.33
96,2.33
97,2.33
98,2.33
99,2.33
100,3.0
102,2.33
103,2.33
104,2.33
107,2.33
108,2.33
109,3.0
110,3.0
111,3.0
112,1.67
115,2.33
116,2.67
118,3.0
119,3.0
121,2.67
124,3.0
126,3.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,3.0
134,2.33
135,3.0
137,2.33
139,3.0
140,2.33
141,2.33
142,2.33
144,2.33
145,3.0
146,2.33
148,2.33
151,2.33
152,2.33
153,2.67
154,2.33
155,2.33
156,2.33
159,2.33
160,2.33
161,2.67
163,3.0
167,2.33
168,3.0
169,2.33
170,3.0
171,3.0
173,2.33
174,2.33
175,2.33
176,2.33
180,2.33
183,2.33
184,2.33
185,2.33
187,3.0
188,2.33
189,2.33
190,2.33
192,2.33
194,2.33
196,2.33
197,2.33
198,3.0
199,2.33
200,2.33
204,3.0
206,3.0
207,3.0
208,3.0
209,2.33
211,3.0
212,3.0
213,3.0
216,3.0
217,3.0
218,3.0
219,3.0
220,3.0
221,3.0
222,2.33
224,2.33
225,2.33
228,3.0
229,3.0
230,3.0
231,3.0
232,3.0
234,2.33
235,2.33
236,3.0
237,3.0
238,3.0
239,2.33
240,3.0
242,3.0
243,3.0
244,3.0
246,2.33
247,2.33
248,2.33
249,3.0
250,2.33
251,2.33
252,2.33
253,2.33
254,3.0
256,3.0
258,2.33
260,2.33
262,2.33
263,2.33
264,2.33
265,2.33
267,2.33
268,2.33
269,2.33
271,3.0
273,2.33
274,3.0
277,2.33
278,2.33
279,2.33
280,2.33
281,2.33
282,2.33
283,3.0
285,2.33
286,2.33
287,2.33
288,2.33
289,2.33
291,3.0
292,3.0
295,2.33
296,2.33
298,2.33
299,2.33
300,3.0
301,3.0
302,3.0
303,2.33
304,2.33
306,3.0
307,3.0
308,2.67
309,3.0
310,3.0
311,2.67
312,3.0
313,3.0
315,3.0
316,2.33
317,3.0
320,2.33
321,2.33
322,2.33
324,3.0
325,3.0
326,3.0
328,3.0
329,3.0
330,2.33
332,3.0
333,2.33
336,2.33
337,3.0
338,3.0
339,2.33
342,3.0
344,2.33
345,2.33
348,3.0
349,2.33
352,3.0
353,3.0
356,3.0
357,3.0
358,3.0
360,2.67
362,2.33
364,2.33
366,2.33
367,2.67
368,2.0
369,2.33
370,3.0
371,3.0
372,3.0
376,3.0
377,3.0
378,3.0
379,2.33
380,2.33
381,3.0
382,2.0
383,2.33
384,2.33
386,3.0
387,3.0
388,2.33
390,2.33
391,2.33
392,3.0
393,2.33
394,2.33
395,3.0
396,2.33
398,2.33
399,3.0
404,3.0
405,3.0
406,3.0
409,2.67
410,3.0
412,3.0
414,2.33
415,2.33
416,2.33
417,2.33
419,2.33
420,3.0
423,2.33
424,2.33
425,2.33
426,3.0
427,2.33
428,3.0
429,2.33
430,2.33
431,3.0
432,3.0
433,2.67
434,3.0
435,3.0
436,2.33
437,3.0
438,3.0
439,3.0
441,3.0
442,3.0
443,2.33
448,3.0
449,3.0
450,3.0
451,3.0
453,3.0
457,3.0
460,3.0
462,3.0
463,3.0
464,2.33
465,3.0
466,3.0
467,2.33
471,2.33
472,2.33
474,2.33
477,2.67
482,3.0
483,3.0
484,3.0
486,3.0
487,2.33
488,3.0
489,3.0
490,2.33
493,3.0
494,3.0
495,2.33
496,3.0
498,2.33
499,3.0
502,2.67
503,3.0
504,3.0
505,3.0
506,3.0
507,3.0
509,2.67
510,2.33
512,2.33
513,2.33
514,3.0
515,2.33
518,2.33
519,2.33
520,2.33
521,2.33
522,3.0
523,2.33
525,3.0
526,3.0
527,3.0
528,3.0
529,3.0
530,3.0
531,2.33
532,3.0
534,3.0
535,3.0
537,3.0
538,2.67
539,2.67
540,2.67
541,2.67
543,3.0
545,3.0
546,2.33
547,2.33
548,3.0
