id,relevance
1,2.33
4,2.33
5,3.0
6,3.0
7,2.67
8,2.33
10,2.33
11,2.33
12,2.33
13,3.0
14,2.67
15,2.33
19,3.0
22,2.33
24,2.33
25,3.0
26,2.33
28,3.0
29,2.67
30,2.67
31,3.0
32,3.0
33,2.33
36,2.33
39,2.33
40,3.0
41,2.33
42,3.0
43,2.33
44,2.33
45,2.33
46,2.33
47,2.33
49,2.67
50,2.33
52,2.33
53,2.33
54,2.33
55,2.67
56,3.0
57,2.33
58,2.67
59,3.0
60,2.33
61,3.0
62,3.0
63,2.33
64,3.0
66,3.0
67,2.33
68,2.33
70,2.33
71,3.0
72,2.33
73,2.33
74,2.33
76,2.33
77,2.33
78,2.33
79,2.33
80,2.33
82,3.0
83,3.0
84,2.33
86,2.33
87,3.0
89,2.33
91,2.33
93,2.33
94,2.33
95,2.33
96,2.33
97,2.33
98,2.33
99,2.33
100,3.0
102,2.33
103,2.33
104,2.33
107,2.33
108,2.33
109,3.0
110,3.0
111,3.0
112,2.33
115,2.67
116,2.33
118,3.0
119,2.33
121,2.33
124,3.0
126,3.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,3.0
134,2.33
135,2.33
137,3.0
139,3.0
140,2.33
141,2.67
142,2.33
144,3.0
145,3.0
146,2.67
148,2.33
151,3.0
152,2.67
153,2.33
154,2.33
155,2.33
156,2.33
159,2.33
160,2.33
161,2.33
163,3.0
167,2.67
168,3.0
169,2.33
170,3.0
171,3.0
173,2.67
174,2.33
175,2.33
176,2.33
180,2.67
183,2.33
184,2.67
185,2.67
187,2.33
188,2.33
189,2.33
190,2.33
192,2.67
194,3.0
196,2.33
197,2.33
198,3.0
199,1.0
200,3.0
204,3.0
206,3.0
207,3.0
208,3.0
209,2.33
211,3.0
212,3.0
213,3.0
216,3.0
217,2.67
218,2.33
219,2.67
220,2.33
221,3.0
222,2.33
224,2.33
225,3.0
228,3.0
229,2.67
230,2.67
231,2.33
232,2.33
234,2.33
235,3.0
236,2.67
237,2.33
238,3.0
239,2.33
240,2.33
242,3.0
243,3.0
244,2.33
246,2.67
247,2.33
248,2.33
249,2.33
250,2.33
251,2.33
252,2.67
253,2.33
254,2.33
256,3.0
258,2.33
260,2.67
262,2.33
263,2.33
264,2.33
265,2.33
267,3.0
268,2.33
269,2.33
271,2.33
273,3.0
274,2.33
277,3.0
278,2.33
279,2.33
280,3.0
281,3.0
282,3.0
283,3.0
285,2.33
286,2.33
287,2.33
288,3.0
289,3.0
291,3.0
292,3.0
295,2.67
296,2.67
298,3.0
299,2.33
300,2.33
301,2.33
302,3.0
303,2.33
304,2.67
306,2.33
307,2.33
308,2.67
309,3.0
310,3.0
311,3.0
312,3.0
313,2.33
315,2.33
316,2.33
317,2.33
320,2.33
321,2.33
322,3.0
324,2.67
325,2.67
326,2.33
328,3.0
329,2.33
330,2.33
332,2.33
333,2.33
336,2.33
337,3.0
338,3.0
339,3.0
342,3.0
344,2.67
345,3.0
348,3.0
349,2.33
352,3.0
353,3.0
356,3.0
357,3.0
358,3.0
360,3.0
362,2.33
364,3.0
366,2.33
367,3.0
368,2.67
369,2.67
370,3.0
371,3.0
372,3.0
376,2.33
377,2.33
378,3.0
379,2.33
380,2.33
381,3.0
382,2.33
383,2.33
384,3.0
386,3.0
387,3.0
388,2.33
390,2.33
391,2.33
392,3.0
393,2.33
394,2.33
395,2.33
396,2.33
398,2.33
399,3.0
404,2.33
405,2.33
406,2.33
409,2.33
410,2.33
412,3.0
414,2.33
415,2.33
416,3.0
417,2.33
419,2.33
420,2.33
423,2.33
424,2.67
425,2.33
426,3.0
427,2.33
428,3.0
429,3.0
430,2.33
431,3.0
432,2.67
433,2.33
434,2.33
435,2.33
436,2.33
437,2.33
438,2.33
439,2.33
441,2.33
442,2.67
443,2.33
448,2.33
449,2.33
450,2.33
451,2.33
453,2.67
457,2.33
460,3.0
462,3.0
463,3.0
464,2.33
465,2.33
466,3.0
467,2.33
471,2.33
472,2.33
474,2.33
477,2.33
482,2.33
483,3.0
484,3.0
486,3.0
487,2.33
488,3.0
489,2.33
490,2.33
493,3.0
494,2.33
495,2.33
496,2.33
498,2.67
499,3.0
502,2.33
503,3.0
504,3.0
505,3.0
506,2.67
507,3.0
509,2.33
510,2.33
512,2.33
513,2.33
514,3.0
515,2.33
518,2.33
519,2.33
520,2.67
521,2.67
522,2.33
523,2.67
525,3.0
526,2.67
527,3.0
528,3.0
529,3.0
530,2.33
531,2.33
532,3.0
534,2.33
535,3.0
537,3.0
538,2.33
539,3.0
540,2.33
541,3.0
543,3.0
545,3.0
546,2.67
547,2.67
548,2.33
