	0
0	2.33
1	2.33
2	3.0
3	3.0
4	3.0
5	2.33
6	3.0
7	3.0
8	3.0
9	3.0
10	3.0
11	3.0
12	2.33
13	3.0
14	3.0
15	3.0
16	2.33
17	2.33
18	1.67
19	2.0
20	3.0
21	2.33
22	2.0
23	3.0
24	2.33
25	3.0
26	2.33
27	2.33
28	3.0
29	3.0
30	3.0
31	3.0
32	2.67
33	3.0
34	2.33
35	2.33
36	3.0
37	2.33
38	3.0
39	3.0
40	2.33
41	3.0
42	3.0
43	2.33
44	3.0
45	3.0
46	2.33
47	2.33
48	3.0
49	3.0
50	2.33
51	2.33
52	3.0
53	2.33
54	2.33
55	2.33
56	2.33
57	2.33
58	2.33
59	2.33
60	2.33
61	3.0
62	3.0
63	2.33
64	3.0
65	3.0
66	2.33
67	2.33
68	2.33
69	2.33
70	2.33
71	2.33
72	2.33
73	2.0
74	2.33
75	3.0
76	3.0
77	2.33
78	2.33
79	2.33
80	2.33
81	3.0
82	3.0
83	3.0
84	1.67
85	2.33
86	3.0
87	3.0
88	3.0
89	2.33
90	3.0
91	2.33
92	3.0
93	3.0
94	2.33
95	3.0
96	3.0
97	3.0
98	3.0
99	3.0
100	2.33
101	3.0
102	2.33
103	2.33
104	2.33
105	3.0
106	3.0
107	2.33
108	2.33
109	2.33
110	2.33
111	2.33
112	2.33
113	2.33
114	2.33
115	2.33
116	2.33
117	2.33
118	3.0
119	2.33
120	3.0
121	2.33
122	3.0
123	3.0
124	2.33
125	2.33
126	2.33
127	2.33
128	2.33
129	2.33
130	2.33
131	2.33
132	3.0
133	2.33
134	2.33
135	2.33
136	2.33
137	2.33
138	2.33
139	2.33
140	3.0
141	2.33
142	2.33
143	3.0
144	3.0
145	3.0
146	3.0
147	2.33
148	3.0
149	3.0
150	3.0
151	3.0
152	3.0
153	3.0
154	3.0
155	3.0
156	3.0
157	3.0
158	2.33
159	3.0
160	3.0
161	3.0
162	3.0
163	3.0
164	3.0
165	2.33
166	2.33
167	3.0
168	3.0
169	3.0
170	3.0
171	3.0
172	3.0
173	3.0
174	3.0
175	2.33
176	2.33
177	2.33
178	3.0
179	2.33
180	2.33
181	2.33
182	3.0
183	3.0
184	3.0
185	2.33
186	2.33
187	2.33
188	2.33
189	2.33
190	2.33
191	2.33
192	2.33
193	2.33
194	3.0
195	3.0
196	3.0
197	2.33
198	2.33
199	2.33
200	2.67
201	2.33
202	3.0
203	3.0
204	2.33
205	2.33
206	2.33
207	3.0
208	3.0
209	3.0
210	3.0
211	2.33
212	2.33
213	3.0
214	3.0
215	3.0
216	3.0
217	3.0
218	2.33
219	2.33
220	3.0
221	3.0
222	3.0
223	3.0
224	3.0
225	3.0
226	3.0
227	3.0
228	3.0
229	3.0
230	3.0
231	3.0
232	2.33
233	3.0
234	3.0
235	2.67
236	3.0
237	3.0
238	3.0
239	3.0
240	3.0
241	3.0
242	3.0
243	2.33
244	3.0
245	3.0
246	3.0
247	2.33
248	2.33
249	3.0
250	3.0
251	3.0
252	3.0
253	3.0
254	3.0
255	3.0
256	3.0
257	2.33
258	3.0
259	3.0
260	3.0
261	2.33
262	2.33
263	3.0
264	3.0
265	3.0
266	3.0
267	3.0
268	3.0
269	3.0
270	2.33
271	3.0
272	3.0
273	2.33
274	3.0
275	3.0
276	3.0
277	2.33
278	3.0
279	2.33
280	3.0
